
2024/03/31 (22:35:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/31 (22:36:19) | ===> btop++ v.1.3.2
2024/03/31 (22:36:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/03 (17:59:46) | ===> btop++ v.1.3.2
2024/04/03 (17:59:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/03 (19:41:51) | ===> btop++ v.1.3.2
2024/04/03 (19:41:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/03 (23:00:17) | ===> btop++ v.1.3.2
2024/04/03 (23:00:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/06 (08:50:58) | ===> btop++ v.1.3.2
2024/04/06 (08:50:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/08 (15:08:06) | ===> btop++ v.1.3.2
2024/04/08 (15:08:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/08 (23:35:58) | ===> btop++ v.1.3.2
2024/04/08 (23:35:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/09 (15:39:01) | ===> btop++ v.1.3.2
2024/04/09 (15:39:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/13 (15:38:49) | ===> btop++ v.1.3.2
2024/04/13 (15:38:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/15 (13:46:02) | ===> btop++ v.1.3.2
2024/04/15 (13:46:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/17 (10:33:46) | ===> btop++ v.1.3.2
2024/04/17 (10:33:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/17 (20:06:19) | ===> btop++ v.1.3.2
2024/04/17 (20:06:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/18 (00:28:54) | ===> btop++ v.1.3.2
2024/04/18 (00:28:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/18 (21:33:40) | ===> btop++ v.1.3.2
2024/04/18 (21:33:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/19 (10:55:59) | ===> btop++ v.1.3.2
2024/04/19 (10:55:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/24 (17:22:18) | ===> btop++ v.1.3.2
2024/04/24 (17:22:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/26 (23:57:12) | ===> btop++ v.1.3.2
2024/04/26 (23:57:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/01 (00:34:18) | ===> btop++ v.1.3.2
2024/05/01 (00:34:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/01 (00:34:25) | ERROR: Stall in Runner thread, restarting!
